name;level;type;ritual;casting_time;casting_time_comment;range;components;components_comment;duration;duration_comment;discription
DominateMonster;8;enchantment;-;1 action;-;60 feet;V,S;-;1 round;-;You attempt to begu ile a creatu re that you ca n seeYou attempt to begu ile a creatu re that you ca n seewith in range. It m ust su cceed on a W isdom savingth row or be ch a rm ed by you for the duration. If you orcrea tu res that are friendly to you are fighting it, it hasadvantage on the saving throw.W h ile the creatu re is ch a rm ed, you have a telepathiclin k with it as lon g as the two of you are on the sa m eplane of existen ce. You ca n u se this telepathic lin k toissu e com m a n ds to the creatu re wh ile you are con sciou s(no action requ ired), wh ich it does its best to obey. Youca n specify a sim ple and general cou r se of action, su chas “Attack that crea tu re,” “Run over there,” or “Fetchthat object.” If the crea tu re com pletes the order andd oesn t receive further direction from you, it defendsand pr eserves itself to the best of its ability.You ca n u se you r action to take total and precisecon trol of the target. Until the en d of your next turn, thecrea tu re takes on ly the a ction s you ch oose, and doesn tdo anything that you don t allow it to do. Du rin g thistim e, you ca n also ca u se the creatu re to u se a reaction,but this requ ires you to u se your own reaction as well.E a ch tim e the target takes dam age, it m a kes a n ewW isdom saving th row against the spell. If the savingth row su cceeds, the spell ends.A t H igher L evels. W h en you cast this spell witha 9th level spell slot, the duration is con cen tra tion ,up to 8 hours.
MassHealingWord;3;evocation;-;1 bonus action;-;60 feet;V;-;instant;-;As you call out w ords of restoration, up to six crea tu resAs you call out w ords of restoration, up to six crea tu resof you r ch oice that you can see within ran ge regain hitpoin ts equ al to 1d4 + you r spellcastin g ability m odifier.Th is spell h as n o effect on undead or con stru cts.A t H igher L evels. W h en you cast th is spell u sin g aspell slot of 4th level or higher, the h ealin g in cr ea ses by1d4 for each slot level above 3rd.
Awaken;5;transmutation;-;8 hours;-;touch;V,S,M;an agate worth at least 1,000 gp,wh ich the spell con su m es;instant;-;After spen din g the ca stin g tim e tracing m a gica lAfter spen din g the ca stin g tim e tracing m a gica lpathways within a preciou s gem ston e, you tou ch a H ugeor sm aller bea st or plant. Th e target m ust have eitherno In telligence scor e or an In telligen ce of 3 or less. Thetarget gains an Intelligence of 10. Th e target a lso gainsthe ability to spea k on e language you know. If the targetis a plant, it gain s the ability to m ove its lim bs, roots,vines, creepers, and so forth, and it gains sen ses sim ilarto a hum an s. Your DM ch ooses statistics appropriatefor the awaken ed plant, su ch as the statistics for theawaken ed shrub or the awaken ed tree.Th e awaken ed bea st or plant is ch a rm ed by you for30 days or until you or you r com pa n ion s do anythingh arm fu l to it. Wh en the ch a rm ed con dition ends,the a wa ken ed creatu re ch ooses wh eth er to rem ainfriendly to you, ba sed on h ow you treated it whileit w a s charm ed.
FlameBlade;2;evocation;-;1 bonus action;-;self;V,S,M;lea f of su m ac;concentration;['Duration: Con centration ', ' up to 10 m inutes'];You evoke a fiery blade in you r free hand. Th e blade isYou evoke a fiery blade in you r free hand. Th e blade issim ilar in size and sh ape to a scim itar, and it lasts forthe duration. If you let go of the blade, it disappea rs, butyou ca n evoke the blade again as a bon u s action.You ca n u se you r action to m ake a m elee spellattack with the fiery blade. On a hit, the target takes3d6 fire dam age.The flam ing blade sh eds bright light in a 10-footradius and dim light for an additional 10 feet.A t H igher L evels. W h en you cast this spell u sin g aspell slot of 4th level or higher, the da m age in crea ses by1d6 for every two slot levels above 2nd.
Contagion;5;necromancy;-;1 action;-;touch;-;-;-;-;Com ponent: V, SCom ponent: V, SDuration: 7 daysYour touch inflicts disea se. Make a m elee spell attackagainst a crea tu re within you r reach. On a hit, you afflictthe creatu re with a disea se of you r ch oice from any ofthe on es descr ibed below.At the end of ea ch of the targets turns, it m ust m akea Constitution saving throw. After failin g th ree ofth ese saving th rows, the disea ses effects last for theduration, and the creatu re stops m a kin g th ese saves.After su cceedin g on th ree of th ese saving throws, thecreatu re r ecovers from the disea se, and the spell ends.Sin ce this spell in du ces a natural disea se in itstarget, any effect that rem oves a disea se or oth erwiseam eliorates a disea ses effects apply to it.Blinding S ickn ess. Pain grips the crea tu res m ind,and its eyes turn m ilky white. Th e creatu re hasdisadvantage on W isdom ch eck s and W isdom savingth rows and is blinded.Filth Fever. A raging fever sw eeps th rough thecrea tu res body. Th e crea tu re has disadvantage onStren gth ch ecks, Stren gth saving th rows, and attackrolls that u se Strength.Flesh R ot. Th e crea tu res flesh decays. Th e creatu rehas disadvantage on Ch arism a ch eck s and vulnerabilityto all dam age.M indfire. Th e crea tu res m ind becom es feverish. Thecreatu re has disadvantage on In telligen ce ch eck s andIntelligence saving th rows, and the creatu re beh aves asif u nder the effects of the  confusion spell du rin g com bat.S eizure. Th e creatu re is overcom e with shaking.Th e creatu re has disadvantage on Dexterity ch eck s,Dexterity saving th rows, and attack rolls thatu se Dexterity.S lim y Doom . Th e creatu re begin s to bleeduncontrollably. Th e crea tu re has disadvantage onConstitution ch eck s and Constitution saving throws.In addition, wh en ever the creatu re takes dam age, it isstun n ed until the end of its next turn.
GuardsandWards;6;abjuration;-;10 minutes;-;touch;V,S,M;bu rn in g in cen se, a sm allm ea su re of brim ston e and oil, a knotted string, asm all am ount of u m ber hulk blood, and a sm all silverr od worth at least 10 gp;24 hours;-;You create a ward that protects up to 2,500 square feetYou create a ward that protects up to 2,500 square feetof floor spa ce (an area 50 feet square, or on e h un dred5-foot squ a res or twenty-five 10-foot squares). Thewa rded area ca n be up to 20 feet tall, and sh aped as youdesire. You ca n ward several stories of a stron gh old bydividing the area am on g them , as lon g as you can walkinto each con tigu ou s area wh ile you are castin g the spell.W h en you cast this spell, you can specify individualsthat are u naffected by any or all of the effects thatyou ch oose. You ca n a lso sp ecify a pa ssw ord that,wh en spoken aloud, m a kes the spea ker im m u n e toth ese effects.Guards and wards crea tes the followin g effects withinthe wa rded area.Corridors. F og fills all the warded corridors, m akin gthem heavily obscu red. In addition, at each in tersectionor bran ch in g pa ssa ge offering a ch oice of direction ,there is a 50 percen t ch a n ce that a creatu re oth er thanyou will believe it is goin g in the opposite direction fromthe on e it ch ooses.Doors. All door s in the w a rded area are m agicallylocked, as if sea led by an  arcane lock spell. In addition,you ca n cover up to ten door s with an illusion (equivalentto the illusory object fu nction of the  m inor illusion spell)to m ake th em appear as plain section s of wall.S tairs. W ebs fill all stairs in the wa rded area from topto bottom , as the  web spell. Th ese strands regrow in 10m inu tes if they are bu rn ed or torn away wh ile  guardsand wards lasts.Other S pell E ffect. You can pla ce you r ch oice of on eof the followin g m a gica l effects within the w a rded areaof the stron ghold.• P la ce  dancing lights in fou r corridors. You can desig­nate a sim ple progra m that the lights repeat as lon g asguards and wards lasts.• P la ce  m agic m outh in two location s.• P la ce  stinking cloud in two location s. Th e vaporsappear in the pla ces you designate they return within10 m inu tes if dispersed by w in d wh ile  guards andwards lasts.• P la ce a constan t  gust of wind in on e corr idor or room .• P la ce a  suggestion in on e location. You select an areaof up to 5 feet square, and any crea tu re that entersor pa sses th rough the area r eceives the su ggestionmentally.Th e wh ole w a rded area radiates m a gic. A  dispelm agic cast on a specific effect, if su ccessfu l, rem ovesonly that effect.You ca n create a perm anen tly guarded and wa rdedstru ctu re by castin g this spell there every dayfor on e year.
Grease;1;conjuration;-;1 action;-;60 feet;V,S,M;a bit of pork rind or butter;1 minutes;-;Slick grea se covers the grou n d in a 10-foot squareSlick grea se covers the grou n d in a 10-foot squarecen tered on a poin t within ran ge and turns it intodifficult terrain for the duration.W h en the grea se appears, ea ch crea tu re stan din g inits area m ust su cceed on a Dexterity saving th row or fallprone. A creatu re that enters the area or en ds its turnthere m ust also su cceed on a Dexterity saving th rowor fall prone.
Reincarnate;5;transmutation;-;1 hour;-;touch;V,S,M;rare oils and unguen ts worth atleast 1,000 gp, wh ich the spell con su m es;instant;-;You tou ch a dead h u m an oid or a piece of a deadYou tou ch a dead h u m an oid or a piece of a deadhum anoid. P rovided that the crea tu re has been dead nolon ger than 10 days, the spell form s a n ew adult bodyfor it and then ca lls the sou l to enter that body. If thetargets sou l isn t free or willin g to do so, the spell fails.Th e m a gic fash ion s a n ew body for the creatu reto inhabit, wh ich likely ca u ses the crea tu res race tochange. Th e DM rolls a d 100 and con su lts the followin gtable to determ ine what form the creatu re takes whenrestored to life, or the DM ch ooses a form .d100 Race01-04 Dragonborn05-13 Dwarf, hill14-21 Dwarf, mountain22-25 Elf, dark26-34 Elf, high35-42 Elf, wood43-46 Gnome, forest47-52 Gnome, rock53-56 Half-elf57-60 Half-orc61-68 Halfling, lightfoot69-76 Halfling, stout77-96 Human97-00 TieflingTh e reincarn ated creatu re reca lls its form er lifeand experien ces. It retains the capabilities it had in itsorigin a l form , except it exch a n ges its origin al race forthe n ew on e and ch a n ges its racial traits accordingly.
Contingency;6;evocation;-;10 minutes;-;self;V,S,M;a statuette of you r self carvedfrom ivory and decora ted with gem s worth atleast 1,500 gp;10 days;-;Ch oose a spell of 5th level or lower that you can cast, thatCh oose a spell of 5th level or lower that you can cast, thathas a castin g tim e of 1 action, and that can target you.You cast that spellcalled the contingent spellas partof castin g  contingency, expending spell slots for both, butthe contingent spell doesnt com e into effect. Instead, ittakes effect wh en a certain circu m stan ce occu rs. Youdescribe that circu m stan ce when you cast the two spells.For exam ple, a  contingency cast with  water breathingm ight stipulate that  water breathing com es into effectwh en you are en gu lfed in water or a sim ilar liquid.The contingent spell takes effect im m ediately after thecircu m sta n ce is met for the first time, whether or not youwant it to. and then  contingency ends.Th e contingen t spell ta kes effect on ly on you, evenif it can norm ally target oth ers. You can u se on ly onecontingency spell at a tim e. If you cast this spell again,the effect of another  contingency spell on you ends. Also,contingency en ds on you if its m aterial com pon en t isever not on you r person .
OtilukesResilientSphere;4;evocation;-;1 action;-;30 feet;V,S,M;a h em isph erical piece ofclear crystal and a m atching h em isph erical pieceof gum arabic;1 minutes;-;A sph ere of sh im m erin g for ce en closes a creatureA sph ere of sh im m erin g for ce en closes a creatureor object of Large size or sm aller within range. Anu nwillin g creatu re m ust m ake a Dexterity savingthrow. On a failed save, the crea tu re is en closed forthe duration.Nothin gnot ph ysical objects, energy, or oth er spelleffectsca n pa ss th rou gh the barrier, in or out, th ou gha crea tu re in the sph ere can breathe there. Th e sphereis im m u n e to all dam age, and a creatu re or object insideca n t be da m aged by attacks or effects originatin g fromoutside, n or can a creatu re in side the sph ere da m ageanything outside it.Th e sph ere is w eigh tless and ju st large en ou gh tocontain the crea tu re or object inside. An en closedcreatu re ca n u se its action to push against the sph ereswalls and thus roll the sph ere at up to h a lf the crea tu resspeed. Sim ilarly, the globe can be picked up and m ovedby oth er creatu res.A  disintegrate spell targeting the globe destroys itwithout h arm in g anything in side it.
Blink;3;transmutation;-;1 action;-;self;V,S;-;1 minutes;-;Roll a d20 at the end of ea ch of you r turns for theRoll a d20 at the end of ea ch of you r turns for theduration of the spell. On a roll of 11 or higher, youvan ish from your curren t plane of existen ce and appearin the E thereal P la n e (the spell fails and the castin g iswasted if you w ere already on that plane). At the start ofyou r next turn, and w h en the spell en ds if you are on theE thereal Plane, you return to an u n occu pied spa ce ofyour ch oice that you ca n see within 10 feet of the spa ceyou van ish ed from . If n o u n occu pied spa ce is availablewith in that range, you appear in the n earest u n occu piedspa ce (ch osen at ran dom if m ore than on e spa ce isequally near). You ca n dism iss this spell as an action.W h ile on the E thereal P lane, you ca n see and hearthe plane you originated from , wh ich is cast in sh adesof gray, and you ca n t see anything there m ore than 60feet away. You ca n on ly affect and be affected by othercrea tu res on the E thereal P lane. Creatures that arentthere ca n t perceive you or interact with you, u n less theyhave the ability to do so.
Jump;1;transmutation;-;1 action;-;touch;V,S,M;a gra ssh oppers hind leg;1 minutes;-;You tou ch a creatu re. Th e crea tu res ju m p dista n ce isYou tou ch a creatu re. Th e crea tu res ju m p dista n ce istripled until the spell ends.
WindWalk;6;transmutation;-;1 minute;-;30 feet;V,S,M;fire and h oly water;8 hours;-;You and up to ten willin g crea tu res you can seeYou and up to ten willin g crea tu res you can seewith in ran ge assu m e a ga seou s form for the duration,a ppearin g as w isps of clou d. W h ile in this clou d form ,a creatu re h as a flying speed of 300 feet and hasresista n ce to da m age from n on m a gica l w ea pon s. Th eonly action s a creatu re ca n take in th is form are theDash action or to revert to its n orm al form . Revertin gtakes 1 m inute, du ring wh ich tim e a crea tu re isincapacitated and ca n t m ove. Until the spell ends, acreatu re ca n revert to clou d form , wh ich also requ iresthe 1-minute transform ation.If a crea tu re is in clou d form an d flying w h en the effectends, the crea tu re descen ds 60 feet per rou n d for 1m inute until it lands, wh ich it does safely. If it ca n t landafter 1 minute, the crea tu re falls the rem ain in g distance.
SpiritualWeapon;2;evocation;-;1 bonus action;-;60 feet;V,S;-;1 minutes;-;You create a floating, spectra l wea pon within ran ge thatYou create a floating, spectra l wea pon within ran ge thatlasts for the duration or until you cast this spell again.Wh en you cast the spell, you can m ake a m elee spellattack against a crea tu re within 5 feet of the weapon . Ona hit, the target takes force da m age equ al to 1d8 + yourspellcastin g ability m odifier.As a bon u s action on you r turn, you can m ove thewea pon up to 20 feet and repeat the attack against acreatu re within 5 feet of it.Th e wea pon can take whatever form you ch oose.Clerics of deities w h o are a ssocia ted with a particularwea pon (as St. Cuthbert is kn own for his m a ceand Th or for his h am m er) m a ke this spells effectresem ble that weapon .A t H igher L evels. Wh en you cast this spell u sing aspell slot of 3rd level or higher, the da m age in cr ea ses by1d8 for every two slot levels above the 2nd.
PurifyFoodandDrink;1;transmutation;True;1 action;-;10 feet;V,S;-;instant;-;All n on m a gica l food and drink within a 5-foot-radiusAll n on m a gica l food and drink within a 5-foot-radiussph ere cen tered on a poin t of you r ch oice within ran ge ispurified and ren dered free of poison and disease.
ProtectionfromEnergy;3;abjuration;-;1 action;-;touch;V,S;-;1 hour;-;F or the duration, the willin g creatu re you tou ch hasF or the duration, the willin g creatu re you tou ch hasresista n ce to on e da m age type of you r ch oice: acid, cold,fire, lightning, or thunder.
ChromaticOrb;1;evocation;-;1 action;-;90 feet;V,S,M;a dia m on d worth at least 50 gp;instant;-;You hurl a 4-inch-diam eter sph ere of en ergy at aYou hurl a 4-inch-diam eter sph ere of en ergy at acrea tu re that you ca n see within range. You ch ooseacid, cold, fire, lightning, poison , or thunder for the typeof orb you create, and then m ake a ran ged spell attackagainst the target. If the attack hits, the creatu re takes3d8 da m age of the type you ch ose.A t H igher L evels. Wh en you cast this spell u sin g aspell slot of 2nd level or higher, the da m age in crea ses by1d8 for ea ch slot level above 1st.
Forbiddance;6;abjuration;True;10 minutes;-;touch;V,S,M;a sprin klin g of h oly water, rarein cen se, and pow der ed ruby worth at least 1,000 gp;1 day;-;You create a ward against m a gica l travel that protectsYou create a ward against m a gica l travel that protectsup to 40,000 square feet of floor spa ce to a height of 30feet above the floor. F or the duration, crea tu res ca n tteleport into the area or u se portals, such as th osecreated by the  gate spell, to enter the area. Th e spellpr oofs the area against planar travel, and th ereforeprevents crea tu res from a ccessin g the area by way ofthe Astral P lane, E thereal P lane, F eywild, Sh a dowfell,or the  plane shift spell.In addition, the spell da m a ges types of crea tu res thatyou ch oose w h en you cast it. C h oose on e or m ore of thefollowin g: celestials, elem entals, fey, fiends, and undead.W h en a ch osen creatu re enters the spells area for thefirst tim e on a turn or starts its turn there, the creaturetakes 5d10 radiant or n ecrotic da m age (your ch oicewh en you cast this spell).W h en you cast this spell, you ca n design ate apa ssword. A creatu re that spea k s the pa ssword as itenters the area takes n o da m age from the spell.Th e spells area can t overlap with the area of anotherforbiddance spell. If you cast  forbiddance every day for30 days in the sa m e location , the spell lasts until it isdispelled, and the m aterial com pon en ts are con su m edon the last casting.
RayofFrost;0;Evocation;-;1 action;-;60 feet;V,S;-;instant;-;A frigid bea m of blue-white light streaks toward aA frigid bea m of blue-white light streaks toward acrea tu re with in range. Make a ra n ged spell attackagainst the target. On a hit, it takes 1d8 cold dam age,and its speed is redu ced by 10 feet until the start ofyou r next turn.Th e spells da m age in crea ses by 1d8 wh en you reach5th level (2d8), 11th level (3d8), and 17th level (4d8).
Symbol;7;abjuration;-;1 minute;-;touch;V,S,M;m ercury, ph osph oru s, andpow der ed dia m on d and opal with a total value of atleast 1,000 gp, wh ich the spell con su m es;Until dispelled or triggered;-;W h en you cast this spell, you in scribe a harm ful glyphW h en you cast this spell, you in scribe a harm ful glypheither on a su rfa ce (such as a section of floor, a wall, ora table) or within an object that ca n be closed to con cea lthe glyph (such as a book, a scroll, or a treasure chest).If you ch oose a su rface, the glyph can cover an area ofthe su rfa ce n o larger than 10 feet in diam eter. If youch oose an object, that object m ust rem ain in its place ifthe object is m oved m ore than 10 feet from wh ere youcast this spell, the glyph is broken, and the spell endswithout bein g triggered.Th e glyph is nearly invisible, requ irin g an In telligence(Investigation) ch eck against you r spell saveDC to find it.You decide what triggers the glyph wh en you cast thespell. F or glyphs in scribed on a su rface, the m ost typicaltriggers in clude tou ch in g or steppin g on the glyph,rem ovin g an oth er object coverin g it, approa ch in g withina certain dista n ce of it, or m anipulating the objectthat h olds it. F or glyphs in scribed within an object,the m ost com m on triggers are open in g the object,a pproa ch in g within a certain dista n ce of it, or seein g orreadin g the glyph.You can further refine the trigger so the spell isactivated on ly u nder certain circu m sta n ces or a ccordin gto a crea tu res ph ysical ch a ra cteristics (such as heightor weight), or ph ysical kind (for exam ple, the ward cou ldbe set to affect h ags or sh apech an gers). You ca n alsospecify crea tu res that don t trigger the glyph, su ch asth ose w h o say a certain pa ssword.W h en you in scribe the glyph, ch oose on e of theoption s below for its effect. On ce triggered, the glyphglows, filling a 60-foot-radiu s sph ere with dim lightfor 10 m inutes, after wh ich tim e the spell ends. E achcreatu re in the sph ere wh en the glyph activates istargeted by its effect, as is a crea tu re that enters thesph ere for the first tim e on a turn or en ds its turn there.Death. E a ch target m ust m ake a Constitution savingthrow, taking 10d 10 n ecrotic da m age on a failed save, orh a lf as m u ch da m age on a su ccessfu l save.Discord. E a ch target m ust m ake a Constitution savingthrow. On a failed save, a target bickers and argueswith oth er crea tu res for 1 minute. Du rin g this time,it is in capable of m ea n in gfu l com m u n ica tion and hasdisadvantage on attack rolls and ability ch ecks.Fear. E a ch target m ust m ake a W isdom saving th rowand becom es frigh ten ed for 1 m inute on a failed save.W h ile frightened, the target drops whatever it is h oldin gand m ust m ove at least 30 feet away from the glyph onea ch of its turns, if able.H opelessn ess. E a ch target m ust m ake a Ch arism asaving throw. On a failed save, the target isoverwh elm ed with despair for 1 minute. Du rin g thistim e, it ca n t attack or target any creatu re with harm fu labilities, spells, or oth er m a gica l effects.Insanity. E ach target must m ake an Intelligence savingthrow. On a failed save, the target is driven in sa n e for1 minute. An in sane creatu re ca n t take actions, cantunderstan d what oth er crea tu res say, ca n t read, andspeaks only in gibberish. Th e DM con trols its m ovem ent,wh ich is erratic.Pain. E ach target m ust m ake a Constitution savingth row and becom es in capacitated with excru cia tin g painfor 1 minute on a failed save.S leep. E ach target m ust m ake a W isdom saving th rowand falls u n con sciou s for 10 m inu tes on a failed save. Acreatu re awaken s if it takes da m age or if som eon e u sesan action to sh ake or slap it awake.S tunning. E ach target m ust m ake a W isdom savingth row and becom es stunned for 1 minute on a failed save.
DelayedBlastFireball;7;evocation;-;1 action;-;150 feet;V,S,M;a tiny ball of batgu a n o and sulfur;1 minutes;-;A bea m of yellow light flash es from you r poin tin g finger,A bea m of yellow light flash es from you r poin tin g finger,then con den ses to linger at a ch osen poin t with in rangeas a glowin g bea d for the duration. Wh en the spellends, either beca u se your con cen tra tion is broken orbeca u se you decide to en d it, the bea d blossom s with alow roa r into an explosion of flam e that sprea ds aroundcorn ers. E a ch creatu re in a 20-foot-radiu s spherecen tered on that poin t m ust m ake a Dexterity savingthrow. A crea tu re takes fire da m age equ al to the totalaccu m u la ted da m age on a failed save, or h a lf as m uchda m age on a su ccessfu l one.Th e spells ba se da m age is 12d6. If at the en d ofyour turn the bea d has not yet detonated, the dam agein cr ea ses by 1d6.If the glowin g bea d is tou ch ed befor e the intervalhas expired, the crea tu re tou ch in g it m ust m ake aDexterity saving throw. On a failed save, the spell endsim m ediately, ca u sin g the bea d to erupt in flam e. On asu ccessfu l save, the crea tu re ca n th row the bea d up to40 feet. W h en it strikes a crea tu re or a solid object, thespell ends, and the bea d explodes.Th e fire da m a ges objects in the area and ignitesflam m able objects that aren t bein g w orn or carried.A t H igher L evels. Wh en you cast this spell u singa spell slot of 8th level or higher, the ba se da m agein crea ses by 1d6 for ea ch slot level above 7th.
PasswithoutTrace;2;abjuration;-;1 action;-;self;V,S,M;ashes from a bu rned lea f ofm istletoe and a sprig of spru ce;1 hour;-;A veil of sh a dows and silen ce radiates from you,A veil of sh a dows and silen ce radiates from you,m a skin g you and you r com pa n ion s from detection.F or the duration, ea ch crea tu re you ch oose within 30feet of you (in cluding you) has a +10 bon u s to Dexterity(Stealth) ch eck s and ca n t be tracked except by m a gica lm eans. A crea tu re that r eceives this bon u s leavesbeh in d n o tracks or oth er tra ces of its pa ssa ge.
HeroesFeast;6;conjuration;-;10 minutes;-;30 feet;V,S,M;a gem -en cru sted bowl worth atleast 1,000 gp, wh ich the spell con su m es;instant;-;You brin g forth a great feast, in cluding m agn ificen tYou brin g forth a great feast, in cluding m agn ificen tfood and drink. Th e feast takes 1 h our to con su m e anddisa ppea rs at the en d of that tim e, and the ben eficialeffects don t set in until this h ou r is over. Up to twelveoth er crea tu res ca n partake of the feast.A creatu re that partakes of the feast gains severalbenefits. Th e creatu re is cu red of all disea ses andpoison , becom es im m u n e to poison and bein gfrightened, and m a kes all W isdom saving th rows withadvantage. Its hit poin t m a xim u m a lso in crea ses by2d10, and it gain s the sa m e n u m ber of hit points. Th esebenefits last for 24 hours.
ProjectImage;7;illusion;-;1 action;-;500 miles;V,S,M;a sm all replica of you m a de fromm aterials worth at least 5 gp;concentration;['Duration: Con centration ', ' up to 1 day'];You create an illu sory copy of you r self that lasts forYou create an illu sory copy of you r self that lasts forthe duration. Th e copy ca n appear at any locationwithin ran ge that you have seen before, rega rdless ofintervening obsta cles. Th e illusion look s and sou n dslike you but is intangible. If the illusion takes anydam age, it disappea rs, and the spell ends.You ca n u se your action to m ove this illusion up totwice your speed, and m ake it gesture, speak, andbeh ave in whatever way you ch oose. It m im ics yourm a n n erism s perfectly.You ca n see th rough its eyes and h ear th rough itsears as if you were in its space. On your turn as a bon u saction, you ca n switch from u sin g its sen ses to u sin gyou r own, or ba ck again. W h ile you are u sin g its sen ses,you are blin ded and dea fen ed in regard to your ownsu rrou n din gs.P h ysica l in teraction with the im age reveals it to be anillusion, beca u se things can pa ss th rough it. A creatu rethat u ses its action to exam in e the im age can determ inethat it is an illusion with a su ccessfu l Intelligence(Investigation) ch eck against you r spell save DC. If acrea tu re discern s the illusion for what it is, the creatu reca n see th rou gh the im age, and any n oise it m akessou n ds h ollow to the creature.
Telekinesis;5;transmutation;-;1 action;-;60 feet;V,S;-;concentration;['Duration: Con centration ', ' up to 10 m inutes'];You gain the ability to m ove or m anipulate crea tu resYou gain the ability to m ove or m anipulate crea tu resor objects by thought. W h en you cast the spell, and asyou r action each roun d for the duration, you ca n exertyou r will on on e creatu re or object that you can seewithin range, cau sin g the appropriate effect below. Youcan affect the sa m e target roun d after round, or ch oosea n ew on e at any tim e. If you switch targets, the priortarget is n o lon ger affected by the spell.Creature. You ca n try to m ove a H uge or sm allercreatu re. Make an ability ch eck with you r spellcastin gability con tested by the crea tu res Stren gth check. Ifyou win the contest, you m ove the crea tu re up to 30 feetin any direction , in cluding u pward but not beyon d theran ge of this spell. Until the end of your next turn, thecreatu re is restrain ed in you r telekinetic grip. A creaturelifted u pward is su spen ded in mid-air.On su bsequ en t rou n ds, you can u se your action toattem pt to m aintain you r telekinetic grip on the creatureby repeatin g the contest.Object. You ca n try to m ove an object that weigh sup to 1,000 pou n ds. If the object isn t bein g worn orcarried, you autom atically m ove it up to 30 feet in anydirection , but not beyon d the ran ge of this spell.If the object is w orn or ca rried by a creature, you m ustm ake an ability ch eck with your spellcastin g abilitycon tested by that crea tu res Stren gth ch eck. If yousu cceed, you pull the object away from that creatu re andca n m ove it up to 30 feet in any direction but not beyon dthe range of this spell.You can exert fine con trol on objects with yourtelekinetic grip, such as m anipulating a sim ple tool,open in g a door or a container, stowin g or retrievingan item from an open container, or pou rin g thecontents from a vial.
PowerWordKill;9;enchantment;-;1 action;-;60 feet;V;-;instant;-;You utter a w ord of power that ca n com pel on e creatu reYou utter a w ord of power that ca n com pel on e creatu reyou ca n see with in ran ge to die instantly. If thecrea tu re you ch oose h a s 100 hit poin ts or fewer, it dies.Oth erwise, the spell h as n o effect.
PhantasmalForce;2;illusion;-;1 action;-;60 feet;V,S,M;a bit of fleece;1 minutes;-;You craft an illusion that takes r oot in the m ind of aYou craft an illusion that takes r oot in the m ind of acreatu re that you ca n see within range. Th e target m ustm ake an In telligen ce saving throw. On a failed save, youcreate a ph an tasm al object, creature, or oth er visibleph en om en on of you r ch oice that is n o larger than a10-foot cu be and that is perceivable only to the targetfor the duration. Th is spell has n o effect on undeador con stru cts.Th e phantasm in cludes sound, tem perature, and otherstimuli, also evident only to the creature.Th e target can u se its action to exam in e the phantasmwith an In telligen ce (Investigation) ch eck against yourspell save DC. If the ch eck su cceeds, the target rea lizesthat the ph an tasm is an illusion, and the spell ends.W h ile a target is affected by the spell, the target treatsthe ph an tasm as if it were real. Th e target rationalizesany illogica l ou tcom es from interacting with thephantasm . F or exam ple, a target attem pting to walka cr oss a phantasm al bridge that span s a ch a sm fallson ce it steps onto the bridge. If the target su rvives thefall, it still believes that the bridge exists and com es upwith som e oth er explanation for its fallit w a s pushed,it slipped, or a stron g win d m ight have kn ock ed it off.An affected target is so con vin ced of the ph an tasm sreality that it can even take da m age from the illusion. Aph an tasm created to appear as a crea tu re ca n attack thetarget. Sim ilarly, a phantasm crea ted to appear as fire, apool of acid, or lava ca n burn the target. E ach roun d onyou r turn, the phantasm can dea l 1d6 psych ic dam ageto the target if it is in the ph an tasm s area or within 5feet of the phantasm , provided that the illusion is of acreatu re or h azard that cou ld logically deal dam age,su ch as by attacking. Th e target perceives the da m ageas a type appropriate to the illusion.
Barkskin;2;transmutation;-;1 action;-;touch;V,S,M;a handful of oa k bark;1 round;-;You tou ch a willin g creatu re. Until the spell ends, theYou tou ch a willin g creatu re. Until the spell ends, thetargets skin has a rough, bark-like appearan ce, and thetargets AC ca n t be less than 16, rega rdless of what kindof a rm or it is wearin g.
PhantasmalKiller;4;illusion;-;1 action;-;120 feet;V,S;-;1 minutes;-;You tap into the n igh tm ares of a creatu re you ca n seeYou tap into the n igh tm ares of a creatu re you ca n seewith in ran ge and create an illu sory m a nifestation of itsdeepest fears, visible on ly to that creature. Th e targetm ust m ake a W isdom saving throw. On a failed save,the target becom es frigh ten ed for the duration. At thestart of ea ch of the targets turns before the spell ends,the target m ust su cceed on a W isdom saving th rowor take 4 d10 psych ic da m age. On a su ccessfu l save,the spell ends.A t H igher L evels. W h en you cast this spell u sing aspell slot of 5th level or higher, the da m age in crea ses by1dlO for each slot level above 4th.
CircleofPower;5;abjuration;-;1 action;-;self;V;-;concentration;['Duration: Concentration', ' up to 10 m inutes'];Divine en ergy radiates from you, distortin g andDivine en ergy radiates from you, distortin g anddiffu sin g m a gica l en ergy within 30 feet of you. Untilthe spell ends, the sph ere m oves with you, cen tered onyou. F or the duration, each friendly creatu re in the area(in cluding you) has advantage on saving th rows againstspells and oth er m a gica l effects. Additionally, wh enan affected crea tu re su cceeds on a saving th row m adeagainst a spell or m a gica l effect that allows it to m ake asaving th row to take only h alf dam age, it instead takesn o da m age if it su cceed s on the saving throw.
